w	o	0.001428902448443655
o	m	0.003147447285085348
m	e	0.00627558507762416
e	n	0.007569321078242063
n	i	0.0031860662701784196
i	k	0.0019502587472001237
k	a	0.003128137792538812
a	u	0.003475708658376458
s	w	0.0014675214335367268
w	a	0.004016374449679463
a	c	0.003919826986946783
c	k	0.003456399165829922
f	e	0.002355758090677377
e	e	0.00594732370433305
n	s	0.0050204680620993284
f	y	0.0006951417316752916
y	l	0.0015254499111763344
l	e	0.010156793079477871
e	s	0.016683401560207
p	o	0.004209469375144821
o	l	0.005503205375762725
e	d	0.012377384722329497
c	l	0.002085425195025875
l	a	0.008727890631034217
a	g	0.0032053757627249556
g	s	0.0026067814937823434
s	t	0.007955510929172781
t	a	0.006777631883834093
a	r	0.012705646095620608
r	n	0.001737854329188229
b	i	0.002954352359619989
i	n	0.010716768363327411
n	d	0.003243994747818027
d	i	0.0034177801807368504
o	o	0.006294894570170696
o	p	0.0030702093148992043
p	s	0.004093612419865606
f	a	0.002375067583223913
a	n	0.010504363945315518
n	o	0.0033598517030972424
o	s	0.00650729898818259
c	a	0.005174944002471615
a	b	0.0030895188074457403
s	o	0.003610875106202209
o	u	0.004846682629180505
u	c	0.0016799258515486212
c	t	0.0009654746273267938
t	r	0.003147447285085348
r	a	0.010832625318606627
a	s	0.010272650034757087
s	s	0.0020081872248397313
s	h	0.004885301614273577
h	o	0.005406657913030045
o	a	0.002336448598130841
a	t	0.006140418629798409
e	f	0.001100641075152545
f	t	0.001274426508071368
t	y	0.0034177801807368504
d	u	0.0021433536726654825
u	r	0.006333513555263768
r	r	0.002085425195025875
h	y	0.0014675214335367268
y	p	0.0006565227465822199
p	e	0.0061017996447053375
j	u	0.0008496176720475786
u	n	0.0055611338534023325
n	t	0.004151540897505214
b	a	0.004885301614273577
a	i	0.004943230091913184
i	s	0.006681084421101414
s	a	0.004421873793156715
s	e	0.008032748899358925
k	i	0.0022978296130377694
i	p	0.0019502587472001237
p	p	0.0013323549857109755
b	l	0.0023171391055843054
c	s	0.000617903761489148
t	h	0.0043060168378775
h	u	0.0021240441801189465
r	l	0.0013902834633505831
n	u	0.0013130454931644397
r	s	0.0044604927782497875
r	i	0.007530702093148992
w	r	0.0007530702093148992
r	o	0.00828377230246389
o	t	0.0044604927782497875
v	e	0.005773538271414227
n	a	0.005001158569552792
a	l	0.010330578512396695
t	e	0.008129296362091604
e	x	0.0016413068664555496
x	a	0.00019309492546535877
m	a	0.006758322391287557
l	i	0.0060631806596122655
d	s	0.004286707345330965
a	d	0.004363945315517108
d	e	0.00670039391364795
l	o	0.006912798331659844
p	i	0.0037846605391210317
i	x	0.0009847841198733296
x	i	0.0008109986869545068
i	e	0.0044411832857032514
l	m	0.0008109986869545068
m	s	0.002664709971421951
c	h	0.006893488839113308
h	e	0.004923920599366648
e	r	0.014771761798099945
r	t	0.0025102340310496642
o	x	0.0010234031049664014
x	b	1.9309492546535876e-05
b	o	0.005117015524832008
o	w	0.00440256430061018
g	r	0.0024136865683169846
